industry_category,stock_id,stock_name,type
電腦及週邊設備業,3057,喬鼎,twse
電子零組件業,3058,立德,twse
光電業,3059,華晶科,twse
電腦及週邊設備業,3060,銘異,twse
光電業,3061,璨圓,twse
通信網路業,3062,建漢,twse
半導體業,3063,飛信,twse
文化創意業,3064,泰偉,tpex
光電業,3066,李洲,tpex
其他電子業,3067,全域,tpex
電腦及週邊設備業,3071,協禧,tpex
半導體業,3073,天方能源,tpex
電子零組件業,3078,僑威,tpex
光電業,3080,威力盟,twse
通信網路業,3081,聯亞,tpex
文化創意業,3083,網龍,tpex
電子商務業,3085,新零售,tpex
文化創意業,3086,華義,tpex
電腦及週邊設備業,3088,艾訊,tpex
電子零組件業,3090,日電貿,twse
電子零組件業,3092,鴻碩,tpex
其他電子業,3093,港建,tpex
半導體業,3094,聯傑,twse
通信網路業,3095,及成,tpex
半導體業,3105,穩懋,tpex
電子零組件業,3114,好德,tpex
電子零組件業,3115,寶島極,tpex
生技醫療業,3118,進階,tpex
半導體業,3122,笙泉,tpex
光電業,3128,昇銳,tpex
資訊服務業,3130,一零四,twse
其他電子業,3131,弘塑,tpex
通信網路業,3138,耀登,twse
半導體業,3141,晶宏,tpex
電子零組件業,3144,新揚科,tpex
資訊服務業,3147,大綜,tpex
光電業,3149,正達,twse
通信網路業,3152,璟德,tpex
電機機械,3162,精確,tpex
通信網路業,3163,波若威,tpex
生技醫療業,3164,景岳,twse
電機機械,3167,大量,twse
半導體業,3169,亞信,tpex
貿易百貨,3171,新洲,tpex
生技醫療業,3176,基亞,tpex
電機機械,3178,公準,tpex
建材營造,3188,鑫龍騰,tpex
半導體業,3189,景碩,twse
電子零組件業,3191,和進,tpex
電子零組件業,3202,樺晟,tpex
生技醫療業,3205,佰研,tpex
電子零組件業,3206,志豐,tpex
電子零組件業,3207,耀勝,tpex
電子通路業,3209,全科,twse
電腦及週邊設備業,3211,順達,tpex
電腦及週邊設備業,3213,茂訊,tpex
電子零組件業,3217,優群,tpex
生技醫療業,3218,大學光,tpex
半導體業,3219,倚強股份,tpex
通信網路業,3221,台嘉碩,tpex
電子通路業,3224,三顧,tpex
電機機械,3226,至寶電,tpex
半導體業,3227,原相,tpex
半導體業,3228,金麗科,tpex
電子零組件業,3229,晟鈦,twse
光電業,3230,錦明,tpex
電腦及週邊設備業,3231,緯創,twse
電子通路業,3232,昱捷,tpex
通信網路業,3234,光環,tpex
電子零組件業,3236,千如,tpex
觀光事業,3252,海灣,tpex
半導體業,3257,虹冠電,twse
半導體業,3259,鑫創,tpex
半導體業,3260,威剛,tpex
半導體業,3264,欣銓,tpex
半導體業,3265,台星科,tpex
建材營造,3266,昇陽,twse
半導體業,3268,海德威,tpex
半導體業,3271,其樂達,twse
電腦及週邊設備業,3272,東碩,tpex
電子零組件業,3276,宇環,tpex
其他,3284,太普高,tpex
其他電子業,3285,微端,tpex
電腦及週邊設備業,3287,廣寰科,tpex
電子零組件業,3288,點晶,tpex
其他電子業,3289,宜特,tpex
電子零組件業,3290,東浦,tpex
文化創意業,3293,鈊象,tpex
電子零組件業,3294,英濟,tpex
電子零組件業,3296,勝德,twse
光電業,3297,杭特,tpex
其他電子業,3303,岱稜,tpex
其他電子業,3305,昇貿,twse
通信網路業,3306,鼎天,tpex
電子零組件業,3308,聯德,twse
電子零組件業,3310,佳穎,tpex
通信網路業,3311,閎暉,twse
電子通路業,3312,弘憶股,twse
電子零組件業,3313,斐成,tpex
電子通路業,3315,宣昶,twse
半導體業,3317,尼克森,tpex
電子零組件業,3321,同泰,twse
電子零組件業,3322,建舜電,tpex
電腦及週邊設備業,3323,加百裕,tpex
其他電子業,3324,雙鴻,tpex
電腦及週邊設備業,3325,旭品,tpex
電子零組件業,3332,幸康,tpex
電子零組件業,3338,泰碩,twse
光電業,3339,泰谷,tpex
汽車工業,3346,麗清,twse
電子零組件業,3354,律勝,tpex
光電業,3356,奇偶,twse
電子通路業,3360,尚立,tpex
光電業,3362,先進光,tpex
通信網路業,3363,上詮,tpex
其他電子業,3367,英華達,twse
半導體業,3372,典範,tpex
其他電子業,3373,熱映,tpex
半導體業,3374,精材,tpex
電子零組件業,3376,新日興,twse
電機機械,3379,彬台,tpex
